Accounts Code,Amount,Description,Records,Average
151101,3895173.80 ,Owner`s Rates Residential,5585.00 ,697.434879
151102,2930025.20 ,Owner`s Rates Industrial/Commercial,710.00 ,4126.796056
151201,194077.50 ,Personal Levy,4362.00 ,44.492779
152001,5846.10 ,Consent Fees,30.00 ,194.87
152002,135300.00 ,Survey Fees,128.00 ,1057.03125
152003,388505.00 ,Building Inspection Fees,323.00 ,1202.801858
152004,169943.00 ,Plan Scrutiny Fee,106.00 ,1603.235849
152007,178680.00 ,Rentals/Lease of Council Properties,181.00 ,987.18232
152008,524670.00 ,Application Form Fees,11903.00 ,44.078804
152010,360.00 ,Sketch Plan,2.00 ,180
152011,10700.00 ,Search Fees,108.00 ,99.074074
152012,1240.00 ,Notice Board Advert Fees,20.00 ,62
152013,683130.50 ,Market Fees,2760.00 ,247.511051
152014,174003.00 ,Parking Fees,1254.00 ,138.758373
152016,678364.00 ,Bus Station Fees,921.00 ,736.551574
152017,22665.00 ,Affidavit Fees,1492.00 ,15.191019
152021,14300.00 ,Hire of grounds/stadia,20.00 ,715
152033,203460.00 ,Refuse Disposal,362.00 ,562.044199
152045,27750.00 ,Notice of marriages,96.00 ,289.0625
152046,188292.00 ,Abattoir/ meat inspection fees,247.00 ,762.315789
152050,431019.50 ,Farm produce levy,193.00 ,2233.261658
152052,1057272.50 ,Car dealer levy,418.00 ,2529.360048
152053,184000.00 ,Communication mast levy,46.00 ,4000
152057,390000.00 ,Agents Licence,327.00 ,1192.66055
152062,1179738.77 ,Billboards and Banners,215.00 ,5487.15707
152065,579450.00 ,Penalties,1052.00 ,550.807985
152066,420938.00 ,Ground Rent,2156.00 ,195.24026
152099,562086.02 ,Other Fees and Charges,5724.00 ,98.198117
153001,52000.00 ,Manufacturers Licence,26.00 ,2000
153002,1594400.00 ,Retail Licence,2589.00 ,615.83623
153003,83600.00 ,Wholesale Licence,59.00 ,1416.949153
153004,375500.00 ,Occupancy Licence,199.00 ,1886.934673
153006,5100.00 ,Hawkers Licence,17.00 ,300
153009,269775.00 ,Liquor Licence,157.00 ,1718.312102
153010,10390.00 ,Firearm and ammunition Licence,284.00 ,36.584507
153011,233854.00 ,Petroleum Licence,47.00 ,4975.617021
153013,125.00 ,Dog Licence,2.00 ,62.5
155001,2437630.00 ,Health Permits,3387.00 ,719.701801
155002,900.00 ,Permit for Opaque Beer,3.00 ,300
155003,500.00 ,Herbalist Permit,1.00 ,500
155005,57270.00 ,Transportation of Meat Products,106.00 ,540.283019
155007,23500.00 ,"Nursery, Pre School Permits",47.00 ,500
155008,10390.00 ,Burial Permits and Grave Sites,198.00 ,52.474747
155009,1829006.00 ,Fire Certificate,3599.00 ,508.198388
155010,1479099.50 ,Business Permit,1219.00 ,1213.371206
155011,3300.00 ,Extension of Business Hours Permit,11.00 ,300
156003,387485.00 ,Premium Plot -Residential,76.00 ,5098.486842
156004,109705.00 ,Premium Plot -Commerical,12.00 ,9142.083333
156099,211627.98 ,Other Charges,297.00 ,712.552121
157002,13910.00 ,Profit from Council Ventures,1.00 ,13910
157099,253117.68 ,Other Income,349.00 ,725.265559
