Accounts Code,Amount,Description,Records,Average
151101,"3,895,173.80",Owner`s Rates Residential,5585,697.434879
151102,"2,930,025.20",Owner`s Rates Industrial/Commercial,710,4126.796056
151201,"194,077.50",Personal Levy,4362,44.492779
152001,"5,846.10",Consent Fees,30,194.870000
152002,"135,300.00",Survey Fees,128,1057.031250
152003,"388,505.00",Building Inspection Fees,323,1202.801858
152004,"169,943.00",Plan Scrutiny Fee,106,1603.235849
152007,"178,680.00",Rentals/Lease of Council Properties,181,987.182320
152008,"524,670.00",Application Form Fees,11903,44.078804
152010,360.00,Sketch Plan,2,180.000000
152011,"10,700.00",Search Fees,108,99.074074
152012,"1,240.00",Notice Board Advert Fees,20,62.000000
152013,"683,130.50",Market Fees,2760,247.511051
152014,"174,003.00",Parking Fees,1254,138.758373
152016,"678,364.00",Bus Station Fees,921,736.551574
152017,"22,665.00",Affidavit Fees,1492,15.191019
152021,"14,300.00",Hire of grounds/stadia,20,715.000000
152033,"203,460.00",Refuse Disposal,362,562.044199
152045,"27,750.00",Notice of marriages,96,289.062500
152046,"188,292.00",Abattoir/ meat inspection fees,247,762.315789
152050,"431,019.50",Farm produce levy,193,2233.261658
152052,"1,057,272.50",Car dealer levy,418,2529.360048
152053,"184,000.00",Communication mast levy,46,4000.000000
152057,"390,000.00",Agents Licence,327,1192.660550
152062,"1,179,738.77",Billboards and Banners,215,5487.157070
152065,"579,450.00",Penalties,1052,550.807985
152066,"420,938.00",Ground Rent,2156,195.240260
152099,"562,086.02",Other Fees and Charges,5724,98.198117
153001,"52,000.00",Manufacturers Licence,26,2000.000000
153002,"1,594,400.00",Retail Licence,2589,615.836230
153003,"83,600.00",Wholesale Licence,59,1416.949153
153004,"375,500.00",Occupancy Licence,199,1886.934673
153006,"5,100.00",Hawkers Licence,17,300.000000
153009,"269,775.00",Liquor Licence,157,1718.312102
153010,"10,390.00",Firearm and ammunition Licence,284,36.584507
153011,"233,854.00",Petroleum Licence,47,4975.617021
153013,125.00,Dog Licence,2,62.500000
155001,"2,437,630.00",Health Permits,3387,719.701801
155002,900.00,Permit for Opaque Beer,3,300.000000
155003,500.00,Herbalist Permit,1,500.000000
155005,"57,270.00",Transportation of Meat Products,106,540.283019
155007,"23,500.00","Nursery, Pre School Permits",47,500.000000
155008,"10,390.00",Burial Permits and Grave Sites,198,52.474747
155009,"1,829,006.00",Fire Certificate,3599,508.198388
155010,"1,479,099.50",Business Permit,1219,1213.371206
155011,"3,300.00",Extension of Business Hours Permit,11,300.000000
156003,"387,485.00",Premium Plot -Residential,76,5098.486842
156004,"109,705.00",Premium Plot -Commerical,12,9142.083333
156099,"211,627.98",Other Charges,297,712.552121
157002,"13,910.00",Profit from Council Ventures,1,13910.000000
157099,"253,117.68",Other Income,349,725.265559
